time             54700000 | observedSignal: fff838 | desiredSignal: fe1004 | filterOut_out1: 000312e52 | filterError_signal1: 7fef283b | filterWeights_oldCoeff: 00076336 | stepSize: 0000c
time             55400000 | observedSignal: fe4dc3 | desiredSignal: fd1d41 | filterOut_out1: 7ffed7ecb | filterError_signal1: 7ff1a834 | filterWeights_oldCoeff: 00073a0c | stepSize: 0000b
time             56100000 | observedSignal: 009fa4 | desiredSignal: 0009dd | filterOut_out1: 7fffb2bc2 | filterError_signal1: 7fe9374c | filterWeights_oldCoeff: 00073b5a | stepSize: 0000c
time             56800000 | observedSignal: ff2bc7 | desiredSignal: 006472 | filterOut_out1: 000179fda | filterError_signal1: 7ffed4eb | filterWeights_oldCoeff: 0007a5a1 | stepSize: 00011
time             57500000 | observedSignal: 03b286 | desiredSignal: 058171 | filterOut_out1: 0000652bd | filterError_signal1: 0002be65 | filterWeights_oldCoeff: 0007a36d | stepSize: 0000b
time             58200000 | observedSignal: febee7 | desiredSignal: 0215b5 | filterOut_out1: 000539390 | filterError_signal1: 0026d24f | filterWeights_oldCoeff: 000799c3 | stepSize: 0000b
time             58900000 | observedSignal: fdc856 | desiredSignal: 000c79 | filterOut_out1: 7ff91d636 | filterError_signal1: 00179045 | filterWeights_oldCoeff: 00092474 | stepSize: 00009
time             59600000 | observedSignal: 0469bf | desiredSignal: 05686d | filterOut_out1: 7ffc82194 | filterError_signal1: 0003e1af | filterWeights_oldCoeff: 0008d332 | stepSize: 00006
time             60300000 | observedSignal: fd3f74 | desiredSignal: ff75f4 | filterOut_out1: 000a468f7 | filterError_signal1: 0020fcd9 | filterWeights_oldCoeff: 0008bfdc | stepSize: 00005
time             61000000 | observedSignal: 01eec7 | desiredSignal: 011c13 | filterOut_out1: 7ff39be27 | filterError_signal1: 000813be | filterWeights_oldCoeff: 00099a2b | stepSize: 00006
time             61700000 | observedSignal: fe4049 | desiredSignal: fcffbd | filterOut_out1: 0007d13ec | filterError_signal1: 00010f5a | filterWeights_oldCoeff: 00097e63 | stepSize: 00005
time             62400000 | observedSignal: 0152af | desiredSignal: ff0001 | filterOut_out1: 7ffa65244 | filterError_signal1: 7fed98c4 | filterWeights_oldCoeff: 00098168 | stepSize: 00005
time             63100000 | observedSignal: 0105ea | desiredSignal: fec29b | filterOut_out1: 0005507cf | filterError_signal1: 7ff2af8c | filterWeights_oldCoeff: 0009a9af | stepSize: 00005
time             63800000 | observedSignal: feedb8 | desiredSignal: fd3aad | filterOut_out1: 0000c5e7c | filterError_signal1: 7ff54ef1 | filterWeights_oldCoeff: 000993a5 | stepSize: 00005
time             64500000 | observedSignal: 01fdb5 | desiredSignal: 003498 | filterOut_out1: 7ffe06802 | filterError_signal1: 7febcee8 | filterWeights_oldCoeff: 000985f5 | stepSize: 00005
time             65200000 | observedSignal: ff87ad | desiredSignal: ffc39e | filterOut_out1: 00074633b | filterError_signal1: 7ffa5e8d | filterWeights_oldCoeff: 0009a102 | stepSize: 00005
time             65900000 | observedSignal: ffc19e | desiredSignal: 00b392 | filterOut_out1: 7ffc3fe31 | filterError_signal1: 0001dd0d | filterWeights_oldCoeff: 000992f2 | stepSize: 00005
time             66600000 | observedSignal: fea87f | desiredSignal: 0059ad | filterOut_out1: 7fff9d19b | filterError_signal1: 0005ff77 | filterWeights_oldCoeff: 000991db | stepSize: 00005
time             67300000 | observedSignal: 001fae | desiredSignal: 023e60 | filterOut_out1: 7ffd5db9c | filterError_signal1: 00056faf | filterWeights_oldCoeff: 00099009 | stepSize: 00005
time             68000000 | observedSignal: 01e3a9 | desiredSignal: 045577 | filterOut_out1: 0002bea95 | filterError_signal1: 000f3457 | filterWeights_oldCoeff: 000986ef | stepSize: 00006
